지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-08-20,27.4,19,22,997.2,1006.9,13.5,30.3,19.6,28.9
108,서울,2013-08-21,28.8,18.3,21.1,998.1,1007.8,13.4,32.6,21.2,29.8
108,서울,2013-08-22,29.3,20.2,23.7,999.1,1008.7,13.4,31.4,23.2,30
108,서울,2013-08-23,25.7,21.7,25.9,998,1007.7,13.3,27.3,20.9,27.5
108,서울,2013-08-24,26.6,17.2,20,996.6,1006.3,13.3,28.6,19,27.7
108,서울,2013-08-25,27.1,15.3,17.7,995.5,1005.1,13.3,30.2,19.1,28.3
108,서울,2013-08-26,27,15.6,18,994.9,1004.6,13.2,31.1,19,29
108,서울,2013-08-27,25.6,17.3,19.8,997.6,1007.3,13.2,29.9,18.8,28.7
108,서울,2013-08-28,26.4,17.3,19.9,996.9,1006.6,13.2,30.1,19.5,29
108,서울,2013-08-29,25.5,21.5,25.7,989,998.7,13.1,25.9,22.1,26
108,서울,2013-08-30,25.1,18.8,21.8,992.8,1002.5,13.1,28.3,19.7,27.2
108,서울,2013-08-31,24,16.8,19.2,996.5,1006.2,13,25.5,18.1,25.3
108,서울,2013-09-01,23.5,13.2,15.3,1001.9,1011.7,13,25.9,16.5,25.3
108,서울,2013-09-02,22.4,10.7,13,1003.9,1013.8,13,26,12.6,24.3
108,서울,2013-09-03,21.7,7.9,10.7,1003.2,1013.1,12.9,27,10.9,24.7
108,서울,2013-09-04,22,9.5,11.9,1002.6,1012.5,12.9,26.9,11.8,24.8
108,서울,2013-09-05,21.2,11,13.2,1006.7,1016.6,12.9,23.6,15.5,23.5
108,서울,2013-09-06,20.8,12.6,14.6,1008.6,1018.6,12.8,22.9,14.9,22.9
108,서울,2013-09-07,21.9,13.8,15.9,1007.5,1017.4,12.8,25.6,15.2,24.3
108,서울,2013-09-08,22.9,14.5,16.8,1007.5,1017.4,12.7,27.5,14.4,25.7
108,서울,2013-09-09,23,16.2,18.5,1005.5,1015.4,12.7,25.5,16.9,24.9
108,서울,2013-09-10,22,17.5,20,1003.9,1013.7,12.6,23.5,17.9,23.7
